Cohort,Order_Month,Revenue,Transactions,Avg_Transaction,Period
2024-03,2024-03,5905.2,175,33.744,0
2024-04,2024-04,5719.56,168,34.045,0
2024-05,2024-05,8164.42,241,33.877261410788385,0
2024-06,2024-06,7617.76,223,34.16035874439462,0
2024-07,2024-07,6915.9400000000005,237,29.181181434599157,0
2024-08,2024-08,7613.84,272,27.992058823529412,0
2024-09,2024-09,9988.64,344,29.03674418604651,0
2024-10,2024-10,13891.16,426,32.60835680751174,0
2024-11,2024-11,8590.539999999999,259,33.16810810810811,0
2024-12,2024-12,8237.74,259,31.805945945945947,0
2025-01,2025-01,6398.86,201,31.83512437810945,0
2025-02,2025-02,13215.48,423,31.242269503546098,0
2025-03,2025-03,9986.44,319,31.30545454545455,0
